word	onset	duration
NOT	445.4525	0.2000
JOEY	445.6525	0.6000
WHOA	446.9325	0.6000
YEAH	447.5325	6.2800
OKAY	453.8125	0.2900
HEY	455.1225	0.4000
IT'S	456.7025	0.2100
300	456.9125	0.3200
IN	457.2325	0.0600
THE	457.2925	0.0600
MORNING	457.3525	0.3600
THEY	458.6925	0.1000
DON'T	458.7925	0.1200
KNOW	458.9125	0.1200
THAT	459.0325	0.1200
I'VE	459.1525	0.1100
COME	459.2625	0.1900
HOME	459.4525	0.2600
YET	459.7125	0.3200
YOU	460.4425	0.1000
NOTICE	460.5425	0.2100
HOW	460.7525	0.0600
NEITHER	460.8125	0.2400
ONE	461.0525	0.1600
OF	461.2125	0.0800
THEM	461.2925	0.1300
ARE	461.4225	0.0700
WONDERING	461.4925	0.3100
WHEREIAM	461.8025	0.6400
YEAH	463.1325	1.6400
YOU	464.7725	0.1500
KNOW	464.9225	0.1500
PEOPLE	465.0725	0.3100
CAN	465.3825	0.1700
BE	465.5525	0.0900
SO	465.6425	0.2200
SELF	465.8625	0.3000
INVOLVED	466.1625	0.5300
YOU	466.8925	0.1500
KNOW	467.0425	0.0600
WHAT	467.1025	1.7000
YOU	468.9225	0.0700
KNOW	468.9925	0.3500
WHAT	469.5425	0.4700
I'M	470.0125	0.1800
NOT	470.1925	0.1500
I'M	470.3425	0.1500
NOT	470.4925	0.2000
