word	onset	duration
ALL	408.3825	0.0600
RIGHT	408.4425	0.2400
I'LL	408.6825	0.0800
I'LL	408.8325	0.2000
WORK	409.2125	0.3100
HERE	409.5625	0.4700
THIS	410.1725	0.1800
IS	410.3525	0.1200
GOOD	410.4725	0.2200
NEXT	411.1325	0.2200
TO	411.3625	0.0700
THIS	411.4325	0.1900
PLANT	411.7225	0.2700
PHOEBE	411.9925	0.8100
LET'S	412.8025	1.2200
NOT	414.0225	0.1900
MAKE	414.2125	0.1000
A	414.3125	0.0300
SCENE	414.3425	0.2900
YOU'RE	414.9425	0.1600
IN	415.1025	0.1300
MY	415.2325	0.1600
OFFICE	415.3925	0.5100
LOOK	415.9425	0.1500
I	416.0925	0.0300
HAVE	416.1225	2.0100
MADE	418.4625	0.2500
A	418.7125	0.0300
LOT	418.7425	0.2900
OF	419.0325	0.0700
CASH	419.1025	0.3800
FOR	419.4825	0.1200
THIS	419.6025	0.1800
COMPANY	419.7825	0.3800
OKAY	420.1625	0.2600
I	420.4225	0.1500
AM	420.5725	0.0800
TALKING	420.6525	0.5000
BIG	421.1525	0.2400
BUCKS	421.3925	0.4700
PESES	422.4525	0.5600
YEN	423.0125	0.4400
RUBLES	423.6225	0.6300
YOU	424.3925	0.1600
MAKE	424.5525	0.2100
ONE	424.7625	0.2900
LITTLE	425.0525	0.4400
MISTAKE	425.4925	0.4400
YOU	426.0325	0.2100
LOST	426.2425	0.3500
13	426.5925	0.4600
MILLION	427.1025	0.3500
DOLLARS	427.4525	0.6100
OH	428.0625	0.2100
SO	428.2725	0.1500
NOW	428.4225	0.2000
THIS	428.6225	0.2400
IS	428.8625	0.0800
ALL	428.9425	0.1800
ABOUT	429.1225	0.2800
MONEY	429.4025	0.4400
YOU	430.1625	0.0600
KNOW	430.2225	0.0800
IT'S	430.3025	0.1000
BAD	430.4025	1.3800
ENOUGH	431.9025	0.6100
THAT	432.7725	0.2400
OW	433.1225	0.3400
OH	434.0225	0.3000
YOU	434.4025	0.1100
HAVE	434.5125	0.1300
GOT	434.8925	0.2600
TO	435.1525	0.1000
BE	435.2525	0.1400
KIDDING	435.3925	0.3900
ARE	436.4025	0.4300
YOU	436.8925	0.1800
ALL	437.0725	0.1200
RIGHT	437.1925	0.4900
I'M	437.6825	0.1800
HAVING	437.8625	0.3200
ANOTHER	438.1825	0.5800
HEART	438.7625	0.2700
ATTACK	439.0325	0.4800
WHAT	439.6625	0.2000
I	440.2625	0.1900
AM	440.4525	0.2200
HAVING	440.6725	1.5300
ANOTHER	442.4725	0.2000
HEART	442.7525	0.4000
ATTACK	443.1525	0.3500
CALL	443.5025	0.1600
9	443.8325	0.2500
1	444.0825	0.1000
1	444.1825	0.1400
TAKE	444.9925	1.3200
IT	446.3125	0.1800
EASY	446.4925	0.1000
NOW	446.5925	2.0400
DUMMASS	448.9425	0.1600
HEY	449.5225	0.2100
PHEEBS	449.8625	0.5900
HOW'S	450.4525	0.2700
IT	450.7225	0.2700
GOING	451.3525	0.1700
THEY	451.5225	0.1400
FIRED	451.6625	0.4600
ME	452.1225	0.1000
AND	452.2225	0.2500
I'M	452.4725	0.1900
HAVING	452.6625	0.2700
A	452.9325	0.0300
HEART	452.9625	0.3000
ATTACK	453.2625	0.4100
OH	453.8925	0.0300
WELL	453.9225	0.2300
WELCOME	454.1525	0.3600
BACK	454.5125	0.3400
YEAH	454.9225	2.1900
